passport,first_name,last_name,job,date_of_birth,comment,postcode,gender,spending
694369456,ปัตถพงษ์,ถนัดรบ,ศิลปิน,1963-03-09,"กำไรซ่อนโน่นห่วงใยและทั่วชาว ฤดูคนตายหมดคู่ทุ่มหรือชูข้าง 
เคารพชุดนอนแถบชุดนอนงม บัดนี้คนไข้ไอโอเอสคำถามคนตายดองเฉยครอง 
ขุดคำสั่งแข็ง เทเลแกรมทรัพย์สินฉีดกลเมตตาแต่งเสรีภาพ ",75320,Female,10541
229512554,เมษา,ทันยุค,เจ้าหน้าที่รัฐบาล,1998-01-30,"น้ำเย็นกำเทเลแกรมฝาก ตะปูตีนอุปโภคโดยหยอกครูขี้ไคลเพลง 
ตำลึงไหนเชื้อโรคบันได กิโลเมตรยันทอดชาวแมลงบูด ดำแก้วไหนผีกเนื่องจากธนาคารก้าง ",21410,Male,13130
U96857223,พัชรพร,ตระกูลบุญ,ผู้จัดพิมพ์,2021-12-31,"ดูฝากร่มรื่นถางหน้ากาก คำสั่งรากแต่แม่พยาธิ 
ริมดึกพิพักพิพ่วนรถโดยสารหล่นซ่อน แมลงตัวเมียที่กิโลเมตรหนุนไค้หันศาสตร์ กิโลเมตรมะเขือเทศรู้จักอาสาฝากปากดังนี้ 
อิฐสหกรณ์ร่างกายท้องฟ้า ",75320,Male,11953
H26958060,ประจิน,ทวีเดช,นักสังคมศาสตร์,1943-01-20,"สีแข็งอัศจรรย์มิตรรสชาติดึกหมัด 
ดีแพ้คำถามสถานีร่างเชื้อโรค โตเข้ารหัสกะละมังจัดผลคอก ปิ่นโตซ่อนรถโดยสารโง่ 
ตกลงโกงกะเพราที่กิ่งไม้เลี้ยว แก้ท้องฟ้าตรวจ ",95840,Female,12285
144271331,กิติวัฒน์,บุญญาไลย์,ศิลปิน,1960-11-25,"กิ่งไม้ไข่พับกว้าง ยาเขยื้อนสำหรับแกสดชื่นโรงสีแม่ 
ทอดกระถางต่อแกะเคย กะเพรากิโลเมตรขนมกตัญญู แข็งหมัดทาน 
ท้องฟ้าข้างมิตรเหตุวาดประชาธิปไตย ชูวินโดวส์เมตตาลูกก้าง ทดแท็บลอยด์เรื่อยกูเกิลเช้าถาง ",95840,Male,10399
N39834493,อภิลักษณ์,เธียรายัน,อาจารย์,1983-11-20,"ลูกเพดานเยอะ ตู่ค่อยคนไข้ช้า ครูยาถางผิด 
ตับคนตายง่วงกล้าฉีด เรียงกลเริ่มย่อพิพักพิพ่วนพิการ 
ห่อข้าวแท็บลอยด์คะแนนอวัยวะหายชนิดระยำ ",21410,Female,10341
Z92371159,ยศพนต์,นิลเสนา,นักการศึกษา,1966-01-15,"ไชโยรัฐประหารขัดหมอกเศรษฐกิจของหวานทวด โกงสีเทาเรียงเศษอาหารผลตีนซ่อนประชาธิปไตย เล่มเชื่อทอดมันกูรังแกเขยิบ 
แมคในเนื่องจากทุ่ม อบอุ่นคั่วทอดเนื้อรังแกพักผ่อน กล่าวห่วงใยแต่ขันน้ำ ",98860,Male,10971
267835810,ทิพย์วารี,นกทอง,นักดาราศาสตร์,1967-01-10,"เนื่องจากนิ่มเสียบขี้ดิน กบกตัญญูปาก 
โดยกะเพราดอกไม้ 
เคเอฟซีแข็งอ่อนหวานไต้หวันไชโยโรงสี แรงงานแสงแท็กซี่ประพฤติเข้ารหัสห่มผ้า ดูกลคนไข้นักเรียนปู 
ได้แก่สหกรณ์ข้าวเจ้า ",88530,Female,10648
T26042880,ศภัคชคง,หนักแน่น,ผู้กำกับภาพยนตร์,1986-05-20,"แม่มดลูกบริษัทคำถามโง่วาด ลืมคาวไหนดำจะไปพั่งดาวเทียมหรือ 
หม้อกลางแหย่ห่วงใย หึงสาถางบัดนี้แจ่มใสง่วง กว้างเบียร์อธิษฐานตื่นตกลง 
เฉยแซงกบทาน ออนซอนเด๊หม้อหมดที่ กำไรหมีตั้งแต่ไหนขี้ไคลเคารพต่อ ",75320,Female,9142
195100847,คำมั่น,เขียวอ่อน,นักโภชนาการ,1978-06-07,"หล่นตรวจทวดพิพักพิพ่วนบอกจัดเขยิบห่วงใย ย้ำคลานปูประพฤติ 
ตั้งแต่พยาธินุ่นแรก กตัญญูกลางคืนเทเลแกรมแปรงผลิตง่วงหุ้ม ไอศกรีมอิฐแก้แคะวิกิพีเดียกลางกีฬา ",75320,Male,11269
